eval_id,x1,x2,x3,x4
1,0.004283945637,0.722308417,0.4522056079,0.01312932978
2,0.00590537079,0.4120501535,0.3128978243,0.8212304822
3,0.03553238885,0.1299026047,0.7999390785,0.3673339874
4,0.03889486493,0.4587551287,0.04655868562,0.4877230285
5,0.04956825601,0.230269551,0.765862783,0.7209492306
6,0.04994012306,0.6828247446,0.3625894235,0.3948129678
7,0.06545933861,0.1480807964,0.06193549561,0.9125822964
8,0.07575880702,0.4366564686,0.7105526309,0.5351448551
9,0.08173512038,0.1741912444,0.6925292428,0.59930281
10,0.08724488359,0.4694132204,0.6562209673,0.921495453
11,0.09555575852,0.5354618608,0.3583713459,0.2918148
12,0.09600701076,0.6453433651,0.2929392496,0.7247853497
13,0.1004887559,0.1045122691,0.5718677326,0.2226334564
14,0.1029995595,0.2419955817,0.01689041481,0.3813131942
15,0.1194687598,0.5975482742,0.2517546331,0.8582470132
16,0.1264654734,0.5751869387,0.7345030754,0.09224486542
17,0.137701441,0.2159675502,0.6476552989,0.7551054851
18,0.1395030831,0.6843517176,0.69831,0.6221929638
19,0.1451266524,0.5591687544,0.2671781001,0.6803594132
20,0.1475954965,0.174536777,0.362476738,0.7676185895
21,0.1509394918,0.2896539637,0.1553465803,0.7033945148
22,0.1581994646,0.1647308756,0.01257788428,0.4711246074
23,0.1831923344,0.5827685638,0.2445449409,0.4856644117
24,0.1850401607,0.5633151083,0.06945978146,0.6346298967
25,0.1902064004,0.7722236801,0.2939365832,0.470607246
26,0.1921558314,0.3005187595,0.6662243116,0.3936822891
27,0.1938635287,0.1097193946,0.2657889773,0.5279456584
28,0.2039071766,0.2169790504,0.413156228,0.5914132495
29,0.2199853526,0.4899996488,0.6471682697,0.2071090761
30,0.2250302439,0.3585824622,0.1703517892,0.04650409475
31,0.2300356263,0.544928399,0.1555060697,0.1944792681
32,0.230860432,0.1183811658,0.7703157738,0.9321650481
33,0.2323510808,0.5950803882,0.1715186843,0.7965438658
34,0.2404988741,0.4120282201,0.5327934107,0.9200322725
35,0.2421142371,0.3648969052,0.4561925585,0.906308603
36,0.2432378893,0.2085265574,0.216621646,0.7544014509
37,0.2670835034,0.6263190637,0.5371956489,0.3268049757
38,0.2696148959,0.3735503899,0.1946950776,0.5674728153
39,0.281810707,0.1323197924,0.5975553869,0.9885846176
40,0.2844317724,0.2042793007,0.5782988383,0.5414258007
41,0.2846224402,0.4225890966,0.4503987944,0.6421476508
42,0.2999297911,0.5862564157,0.5839733924,0.6701448251
43,0.3074826138,0.4212032462,0.09910835666,0.6630419463
44,0.3087492903,0.2292094191,0.6076841324,0.1992754634
45,0.3156140687,0.6101894426,0.1602632251,0.03995118339
46,0.317277334,0.4140356625,0.09776197863,0.9607364908
47,0.3270261733,0.208384492,0.2524436106,0.786994731
48,0.3331035396,0.6566459979,0.7162404332,0.04017218623
49,0.3414609493,0.4669629326,0.7667917602,0.4273796447
50,0.363346651,0.2420453307,0.216600803,0.9450703626
51,0.3693419462,0.6908753123,0.2387837173,0.03414414033
52,0.3847919224,0.4227109553,0.2535310623,0.3066737104
53,0.385679351,0.2175437306,0.1972214271,0.6486954827
54,0.3884702904,0.7699850902,0.1891972252,0.3593482274
55,0.3885415466,0.4712189796,0.7448543247,0.1053333143
56,0.4095291147,0.7130526885,0.6555441018,0.8333065574
57,0.409930989,0.7615162,0.6891735564,0.7857734155
58,0.4123371439,0.3530302046,0.06521841961,0.2047670936
59,0.4259296959,0.3357103733,0.1658233915,0.3393678513
60,0.4316703202,0.6710358578,0.7150546744,0.02711631964
61,0.4317387903,0.4637125871,0.4336000675,0.381357073
62,0.4599255802,0.4495975116,0.5724951125,0.8445906121
63,0.4842162719,0.5292337875,0.7066887468,0.7069637909
64,0.4901621474,0.008982841675,0.1978647091,0.6238603339
65,0.4904369427,0.4366321432,0.2982013119,0.01526378375
66,0.5090741428,0.03048959562,0.4041414471,0.3724621531
67,0.5091120231,0.2332316783,0.2556559042,0.7527224662
